1016	0	1017	6695	9
149513	135	1014	5756	7	
150623	136	1024	7464	9	
151719	137	1020	8670	11	
152806	138	1007	11256	14	
153967	139	1068	12654	16	
155056	140	1057	5301	7	
156111	141	1012	8077	10	
157294	142	1095	10491	13	
158344	143	1045	9775	12	
159410	144	1011	8091	10	
160520	145	1021	5114	7	
161680	146	1081	9449	12	
162709	147	1010	12083	15	
163829	148	1030	8841	11	
164994	149	1095	7743	10	
166090	150	1091	6672	9	
167179	151	1080	6695	9	
168219	152	1020	6813	9	
169314	153	1015	7938	10	
170445	154	1046	7201	9	
171500	155	1001	8104	10	
172615	156	1016	7153	9	
173768	157	1069	8748	11	
174812	158	1013	7307	9	
175932	159	1033	6620	8	
177025	160	1026	5940	8	
178171	161	1072	6708	9	
179255	162	1056	7627	10	
180321	163	1022	5966	8	
181448	164	1049	7851	10	
182549	165	1050	5051	7	
183651	166	1052	7860	10	
184723	167	1024	5112	7	
185860	168	1061	9460	12	
186908	169	1009	6604	8	
188011	170	1012	7477	9	
189142	171	1043	6311	8	
190272	172	1073	4708	6	
191391	173	1092	5363	7	
192455	174	1056	10820	13	
193556	175	1057	7493	9	
194600	176	1001	9458	12	
195702	177	1003	8463	11	
196878	178	1079	5180	7	
197909	179	1010	8824	11	
199011	180	1012	8362	11	
200113	181	1014	6767	9	
201298	182	1099	8403	11	
202302	183	1003	4861	6	
203497	184	1098	5369	7	
204582	185	1083	8670	11	
205683	186	1084	5646	7	
206741	187	1042	6847	9	
207878	188	1079	5324	7	
208971	189	1072	11291	14	
210026	190	1027	10283	13	
211136	191	1037	8338	11	
212273	192	1074	9397	12	
213333	193	1034	7373	9	
214497	194	1098	8104	10	
215552	195	1053	8353	11	
216619	196	1020	6600	8	
217767	197	1068	8269	10	
218839	198	1040	7545	10	
219979	199	1080	8469	11	
221036	200	1037	8367	11	
222196	201	1097	7782	10	
223220	202	1021	4798	6	
224301	203	1002	7982	10	
225412	204	1013	6735	9	
226507	205	1008	5239	7	
227601	206	1002	5109	7	
228747	207	1048	9184	12	
229834	208	1035	5747	7	
230932	209	1033	4865	6	
232080	210	1081	8451	11	
233172	211	1073	6076	8	
234260	212	1061	7775	10	
235338	213	1039	7464	9	
236489	214	1090	6303	8	
237555	215	1056	5236	7	
238648	216	1049	11945	15	
239762	217	1063	6068	8	
240856	218	1057	7616	10	
241967	219	1068	12713	16	
243016	220	1017	6941	9	
244191	221	1092	6051	8	
245224	222	1025	7708	10	
246351	223	1052	7379	9	
247480	224	1081	6372	8	
248501	225	1002	7243	9	
249679	226	1080	6356	8	
250708	227	1009	6548	8	
251899	228	1100	9855	12	
252911	229	1012	7583	10	
254016	230	1017	5400	7	
255188	231	1089	6049	8	
256229	232	1030	9255	12	
257325	233	1026	5783	7	
258488	234	1089	7547	10	
259509	235	1010	5530	7	
260680	236	1081	4839	6	
261712	237	1013	6319	8	
262839	238	1040	7596	10	
263988	239	1089	5111	7	
265056	240	1057	8507	11	
266167	241	1068	5208	7	
267232	242	1033	9553	12	
268324	243	1025	5760	7	
269452	244	1053	9836	12	
270515	245	1016	7110	9	
271662	246	1063	9013	11	
272710	247	1011	6965	9	
273895	248	1096	7714	10	
274969	249	1070	6175	8	
276042	250	1043	8131	10	
277181	251	1082	7843	10	
278267	252	1068	7098	9	
279330	253	1031	6116	8	
280411	254	1012	6996	9	
281563	255	1064	7402	9	
282655	256	1056	6698	9	
283748	257	1049	8588	11	
284838	258	1039	6270	8	
285913	259	1014	7572	10	
287067	260	1068	12817	16	
288199	261	1100	12271	15	
289238	262	1039	10851	14	
290330	263	1031	5951	8	
291466	264	1067	5807	7	
292589	265	1090	6547	8	
293679	266	1080	9099	11	
294700	267	1001	6275	8	
295800	268	1001	5027	7	
296929	269	1030	6697	9	
298088	270	1089	5370	7	
299110	271	1011	7901	10	
300223	272	1024	7835	10	
301383	273	1084	5841	8	
302409	274	1010	5554	7	
303579	275	1080	6828	9	
304612	276	1013	4843	6	
305730	277	1031	8464	11	
306855	278	1056	12966	16	
307985	279	1086	7938	10	
309008	280	1009	6989	9	
310111	281	1012	8937	11	
311289	282	1090	5414	7	
312345	283	1046	8393	11	
313495	284	1096	8101	10	
314538	285	1039	6019	8	
315667	286	1068	4325	6	
316756	287	1057	6085	8	
317871	288	1072	6674	9	
318913	289	1014	6217	8	
320079	290	1080	7400	9	
321127	291	1028	5905	8	
322234	292	1035	9133	11	
323354	293	1055	5330	7	
324459	294	1060	5354	7	
325555	295	1056	4406	6	
326620	296	1021	5832	7	
327740	297	1041	7799	10	
328859	298	1060	7105	9	
329908	299	1009	6258	8	
331006	300	1007	5241	7	
332141	301	1042	6717	9	
333267	302	1068	13867	17	
334396	303	1097	7567	10	
335407	304	1008	6129	8	
336549	305	1050	9625	12	
337655	306	1056	10794	13	
338716	307	1017	6051	8	
339899	308	1100	5481	7	
340913	309	1014	7431	9	
342079	310	1080	6210	8	
343102	311	1003	7621	10	
344267	312	1068	10676	13	
345303	313	1004	6951	9	
346413	314	1014	8217	10	
347544	315	1045	9262	12	
348600	316	1001	10732	13	
349719	317	1020	8999	11	
350803	318	1004	5432	7	
351911	319	1012	6405	8	
353097	320	1098	6183	8	
354102	321	1003	5515	7	
355228	322	1029	6094	8	
356378	323	1079	4859	6	
357418	324	1019	7797	10	
358500	325	1001	10244	13	
359619	326	1020	8649	11	
360715	327	1016	8641	11	
361823	328	1024	7660	10	
362947	329	1048	8309	10	
364034	330	1035	6332	8	
365119	331	1020	6028	8	
366294	332	1095	9218	12	
367300	333	1001	5862	8	
368423	334	1024	5041	7	
369585	335	1086	6033	8	
370658	336	1059	7759	10	
371773	337	1074	5440	7	
372831	338	1032	6539	8	
373946	339	1047	5631	7	
375018	340	1019	6148	8	
376143	341	1044	5604	7	
377257	342	1058	5187	7	
378338	343	1039	5698	7	
379452	344	1053	12642	16	
380536	345	1037	7384	9	
381603	346	1004	6831	9	
382708	347	1009	8033	10	
383849	348	1050	7206	9	
384921	349	1022	5415	7	
386038	350	1039	8691	11	
387184	351	1085	8956	11	
388207	352	1008	8054	10	
389399	353	1100	11111	14	
390471	354	1072	8264	10	
391555	355	1056	9692	12	
392695	356	1096	5633	7	
393715	357	1016	9517	12	
394801	358	1002	8138	10	
395909	359	1010	7136	9	
397062	360	1063	8961	11	
398152	361	1053	10318	13	
399280	362	1081	7279	9	
400308	363	1009	10922	14	
401404	364	1005	6108	8	
402598	365	1099	8535	11	
403613	366	1014	5459	7	
404770	367	1071	6123	8	
405830	368	1031	8379	11	
406933	369	1034	6467	8	
408052	370	1053	6427	8	
409173	371	1074	9154	11	
410297	372	1098	6228	8	
411319	373	1020	7268	9	
412446	374	1047	6429	8	
413508	375	1009	10712	13	
414656	376	1057	5492	7	
415719	377	1020	7745	10	
416808	378	1009	6616	8	
417932	379	1033	5057	7	
419007	380	1008	5927	8	
420115	381	1016	8829	11	
421280	382	1081	5461	7	
422317	383	1018	8472	11	
423480	384	1081	6467	8	
424574	385	1075	8764	11	
425699	386	1100	6696	9	
426749	387	1050	7536	10	
427844	388	1045	9529	12	
428929	389	1030	8006	10	
430073	390	1074	4855	6	
431148	391	1049	5152	7	
432213	392	1014	7264	9	
433394	393	1095	8589	11	
434460	394	1061	6339	8	
435544	395	1045	7623	10	
436651	396	1052	6310	8	
437714	397	1015	7771	10	
438878	398	1079	4550	6	
439951	399	1052	8996	11	
441007	400	1008	7435	9	
442111	401	1012	7596	10	
443205	402	1006	9177	12	
444367	403	1068	7834	10	
445426	404	1027	4766	6	
446588	405	1089	5897	8	
447620	406	1021	5361	7	
448798	407	1099	8355	11	
449811	408	1012	6535	8	
450980	409	1081	7081	9	
452079	410	1080	6392	8	
453165	411	1066	6738	9	
454239	412	1040	6899	9	
455337	413	1038	5439	7	
456410	414	1011	6466	8	
457599	415	1100	8745	11	
458639	416	1040	8394	11	
459713	417	1014	5314	7	
460878	418	1079	7760	10	
461990	419	1091	7252	9	
463056	420	1057	7272	9	
464173	421	1074	7730	10	
465267	422	1068	10600	13	
466348	423	1049	6777	9	
467473	424	1074	6382	8	
468534	425	1035	5596	7	
469677	426	1078	5094	7	
470799	427	1100	10388	13	
471848	428	1049	9470	12	
472972	429	1073	5873	8	
474023	430	1024	6419	8	
475144	431	1045	12445	15	
476287	432	1088	7227	9	
477380	433	1081	9015	11	
478443	434	1044	5140	7	
479518	435	1019	5408	7	
480679	436	1080	9055	11	
481727	437	1028	6975	9	
482851	438	1052	6024	8	
483938	439	1039	12216	15	
485048	440	1049	8869	11	
486114	441	1015	6891	9	
487271	442	1072	8301	10	
488399	443	1100	9322	12	
489409	444	1010	12850	16	
490549	445	1050	5391	7	
491614	446	1015	6054	8	
492717	447	1018	5307	7	
493861	448	1062	8341	11	
494997	449	1098	4902	6	
496096	450	1097	6702	9	
497197	451	1098	7513	10	
498238	452	1039	6166	8	
499317	453	1018	9995	12	
500445	454	1046	7661	10	
501584	455	1085	8350	11	
502663	456	1064	8363	11	
503768	457	1069	8060	10	
504894	458	1095	8685	11	
505916	459	1017	7978	10	
507097	460	1098	7361	9	
508180	461	1081	5982	8	
509245	462	1046	8789	11	
510345	463	1046	5751	7	
511499	464	1100	9018	11	
512559	465	1060	6066	8	
513681	466	1082	7730	10	
514704	467	1005	6634	8	
515842	468	1043	6393	8	
516982	469	1083	7132	9	
518062	470	1063	5336	7	
519175	471	1076	5471	7	
520285	472	1086	8959	11	
521354	473	1055	6301	8	
522409	474	1010	7747	10	
523595	475	1096	4961	6	
524607	476	1008	7323	9	
525742	477	1043	5985	8	
526895	478	1096	7412	9	
527951	479	1052	5200	7	
529093	480	1094	5757	7	
530151	481	1052	4887	6	
531299	482	1100	6625	8	
532332	483	1033	6318	8	
533472	484	1073	5425	7	
534593	485	1094	7578	10	
535667	486	1068	5168	7	
536738	487	1039	7393	9	
537841	488	1042	8910	11	
538948	489	1049	8639	11	
540002	490	1003	5418	7	
541108	491	1009	7463	9	
542237	492	1038	4976	6	
543359	493	1060	5059	7	
544456	494	1057	7602	10	
545514	495	1015	6247	8	
546670	496	1071	4856	6	
547758	497	1059	5678	7	
548815	498	1016	7954	10	
549928	499	1029	6993	9	
551082	500	1083	7550	10	
552111	501	1012	8469	11	
553281	502	1082	6107	8	
554315	503	1016	7328	9	
555471	504	1072	8282	10	
556515	505	1016	4896	6	
557652	506	1053	6657	8	
558708	507	1009	8738	11	
559862	508	1063	7920	10	
560989	509	1090	5543	7	
562095	510	1096	6112	8	
563134	511	1035	7598	10	
564260	512	1061	7570	10	
565347	513	1048	6378	8	
566415	514	1016	7683	10	
567556	515	1057	5823	7	
568617	516	1018	10194	13	
569767	517	1068	6677	9	
570858	518	1059	7851	10	
571901	519	1002	7864	10	
573071	520	1072	6256	8	
574138	521	1039	9227	12	
575228	522	1029	7119	9	
576350	523	1051	8646	11	
577463	524	1064	7819	10	
578507	525	1008	8060	10	
579669	526	1070	5322	7	
580744	527	1045	5103	7	
581852	528	1053	10538	13	
582985	529	1086	5312	7	
584049	530	1050	5660	7	
585142	531	1043	5974	8	
586248	532	1049	5728	7	
587332	533	1033	11768	15	
588494	534	1095	10587	13	
589511	535	1012	7440	9	
590694	536	1095	9195	12	
591706	537	1007	6517	8	
592860	538	1061	7568	10	
593945	539	1046	6975	9	
595006	540	1007	8543	11	
596112	541	1013	5202	7	
597227	542	1028	7420	9	
598307	543	1008	6147	8	
599407	544	1008	8215	10	
600517	545	1018	5156	7	
601617	546	1018	9524	12	
602788	547	1089	8145	10	
603815	548	1016	7002	9	
604967	549	1068	5424	7	
606066	550	1067	4895	6	
607144	551	1045	8438	11	
608267	552	1068	6003	8	
609316	553	1017	6958	9	
610456	554	1057	7821	10	
611587	555	1088	6699	9	
612619	556	1020	9702	12	
613734	557	1035	4517	6	
614835	558	1036	7301	9	
615956	559	1057	9558	12	
617055	560	1056	10509	13	
618111	561	1012	6103	8	
619279	562	1080	9007	11	
620312	563	1013	7076	9	
621417	564	1018	5254	7	
622595	565	1096	6984	9	
623600	566	1001	7507	10	
624752	567	1053	10424	13	
625813	568	1014	6452	8	
626900	569	1001	10990	14	
628095	570	1096	5711	7	
629189	571	1090	6312	8	
630244	572	1045	5534	7	
631341	573	1042	5465	7	
632490	574	1091	6629	8	
633538	575	1039	7232	9	
634684	576	1085	8117	10	
635711	577	1012	5607	7	
636898	578	1099	9404	12	
637955	579	1056	6518	8	
639029	580	1030	8588	11	
640151	581	1052	4661	6	
641235	582	1036	5715	7	
642373	583	1074	6919	9	
643473	584	1074	6043	8	
644501	585	1002	5263	7	
645634	586	1035	4936	6	
646781	587	1082	5952	8	
647896	588	1097	8166	10	
648955	589	1056	14980	18	
650029	590	1030	7337	9	
651171	591	1072	6892	9	
652238	592	1039	4368	6	
653395	593	1096	5771	7	
654438	594	1039	7406	9	
655581	595	1082	6330	8	
656604	596	1005	4612	6	
657767	597	1068	5868	8	
658819	598	1020	9708	12	
659901	599	1002	9403	12	
661027	600	1028	9603	12	
662156	601	1057	5906	8	
663295	602	1096	7667	10	
664354	603	1055	6918	9	
665417	604	1018	6082	8	
666595	605	1096	8914	11	
667627	606	1028	6228	8	
668757	607	1058	5281	7	
669821	608	1022	6258	8	
670954	609	1055	5492	7	
672084	610	1085	4277	6	
673183	611	1084	7485	9	
674216	612	1017	4926	6	
675397	613	1098	9842	12	
676406	614	1007	10484	13	
677515	615	1016	9682	12	
678671	616	1072	6902	9	
679715	617	1016	10075	13	
680824	618	1025	5106	7	
681974	619	1075	8913	11	
683088	620	1089	6233	8	
684126	621	1027	6824	9	
685241	622	1042	7259	9	
686308	623	1009	7158	9	
687456	624	1057	8374	11	
688580	625	1081	5505	7	
689697	626	1098	5023	7	
690798	627	1099	6447	8	
691872	628	1073	6495	8	
692938	629	1039	7091	9	
694043	630	1044	5652	7	
695199	631	1100	9091	11	
696299	632	1100	8617	11	
697355	633	1056	8227	10	
698449	634	1050	8355	11	
699599	635	1100	8686	11	
700652	636	1053	4467	6	
701738	637	1039	9800	12	
702861	638	1062	6389	8	
703999	639	1100	6306	8	
705034	640	1035	5963	8	
706107	641	1008	6637	8	
707226	642	1027	8064	10	
708324	643	1025	5106	7	
709447	644	1048	4618	6	
710571	645	1072	5133	7	
711613	646	1014	7357	9	
712783	647	1084	6476	8	
713879	648	1080	7962	10	
714908	649	1009	7470	9	
716078	650	1079	10057	13	
717130	651	1031	6294	8	
718271	652	1072	5837	8	
719361	653	1062	6684	9	
720416	654	1017	6219	8	
721550	655	1051	7306	9	
722643	656	1044	5815	7	
723791	657	1092	4958	6	
724806	658	1007	6297	8	
725957	659	1058	5185	7	
727053	660	1054	5623	7	
728117	661	1018	9195	12	
729290	662	1091	6425	8	
730334	663	1035	8092	10	
731479	664	1080	9002	11	
732556	665	1057	6914	9	
733614	666	1015	6155	8	
734732	667	1033	8322	10	
735834	668	1035	6037	8	
736926	669	1027	7199	9	
738074	670	1075	7329	9	
739132	671	1033	5060	7	
740289	672	1090	6102	8	
741368	673	1069	9022	11	
742467	674	1068	8162	10	
743513	675	1014	5746	7	
744660	676	1061	9261	12	
745736	677	1037	6467	8	
746827	678	1028	6382	8	
747933	679	1034	8239	10	
749051	680	1052	8232	10	
750161	681	1062	8355	11	
751242	682	1043	7282	9	
752304	683	1005	6048	8	
753400	684	1001	8635	11	
754551	685	1052	5124	7	
755602	686	1003	5636	7	
756767	687	1068	12581	16	
757806	688	1007	4840	6	
758911	689	1012	7743	10	
760015	690	1016	9057	11	
761155	691	1056	10710	13	
762214	692	1015	6149	8	
763329	693	1030	9552	12	
764423	694	1024	7646	10	
765577	695	1078	4668	6	
766688	696	1089	7880	10	
767713	697	1014	5796	7	
768874	698	1075	5944	8	
769913	699	1014	7652	10	
771042	700	1043	6347	8	
772102	701	1003	5841	8	
773244	702	1045	9309	12	
774357	703	1058	6081	8	
775499	704	1100	6796	9	
776577	705	1078	6832	9	
777605	706	1006	5727	7	
778762	707	1063	8505	11	
779809	708	1010	8404	11	
780978	709	1079	6701	9	
782048	710	1049	9435	12	
783152	711	1053	10056	13	
784287	712	1088	7615	10	
785355	713	1056	5343	7	
786429	714	1030	8794	11	
787578	715	1079	9437	12	
788611	716	1012	7637	10	
789748	717	1049	8197	10	
790890	718	1091	6155	8	
791970	719	1071	6489	8	
793081	720	1082	7019	9	
794127	721	1028	6222	8	
795203	722	1004	7134	9	
796380	723	1081	6930	9	
797484	724	1085	6394	8	
798597	725	1098	9030	11	
799605	726	1006	8011	10	
800720	727	1021	6282	8	
801815	728	1016	6320	8	
802973	729	1074	6291	8	
804089	730	1090	6609	8	
805173	731	1074	6916	9	
806227	732	1028	9379	12	
807352	733	1053	5624	7	
808493	734	1094	7166	9	
809572	735	1073	5390	7	
810644	736	1045	9723	12	
811752	737	1053	8265	10	
812854	738	1055	4831	6	
813955	739	1056	11032	14	
815015	740	1016	7307	9	
816127	741	1028	9549	12	
817242	742	1043	6575	8	
818380	743	1081	4762	6	
819486	744	1087	5659	7	
820524	745	1025	8655	11	
821622	746	1023	5153	7	
822767	747	1068	7824	10	
823851	748	1052	6701	9	
824911	749	1012	6555	8	
826098	750	1099	6596	8	
827168	751	1069	7505	10	
828279	752	1080	8435	11	
829333	753	1034	5970	8	
830495	754	1096	8363	11	
831559	755	1060	5390	7	
832602	756	1003	8059	10	
833734	757	1035	6241	8	
834881	758	1082	5674	7	
835931	759	1032	7111	9	
837040	760	1041	5223	7	
838172	761	1073	5394	7	
839282	762	1083	9547	12	
840395	763	1096	7030	9	
841437	764	1038	5122	7	
842500	765	1001	8653	11	
843644	766	1045	9742	12	
844771	767	1072	4481	6	
845832	768	1033	8445	11	
846999	769	1100	13306	16	
848028	770	1029	6406	8	
849137	771	1038	5193	7	
850261	772	1062	10043	13	
851396	773	1097	5820	7	
852444	774	1045	9514	12	
853573	775	1074	7610	10	
854634	776	1035	6819	9	
855734	777	1035	4629	6	
856859	778	1060	6140	8	
857913	779	1014	6301	8	
859082	780	1083	6536	8	
860178	781	1079	5974	8	
861237	782	1038	6274	8	
862362	783	1063	5200	7	
863412	784	1013	6630	8	
864563	785	1064	9073	11	
865624	786	1025	8506	11	
866709	787	1010	14201	18	
867869	788	1070	5032	7	
868957	789	1058	9551	12	
870016	790	1017	6577	8	
871136	791	1037	6192	8	
872297	792	1098	9408	12	
873316	793	1017	5223	7	
874402	794	1003	5608	7	
875555	795	1056	8328	10	
876647	796	1048	6358	8	
877772	797	1073	7134	9	
878807	798	1008	6572	8	
879995	799	1096	6299	8	
881059	800	1060	5460	7	
882116	801	1017	7513	10	
883211	802	1012	5707	7	
884360	803	1061	8048	10	
885438	804	1039	8758	11	
886581	805	1082	7911	10	
887662	806	1063	7715	10	
888785	807	1086	4881	6	
889860	808	1061	10137	13	
890936	809	1037	8889	11	
892012	810	1013	6589	8	
893161	811	1062	6300	8	
894256	812	1057	4282	6	
895329	813	1030	8717	11	
896423	814	1024	8343	11	
897562	815	1063	6752	9	
898685	816	1086	5415	7	
899718	817	1019	7828	10	
900841	818	1042	8357	11	
901989	819	1090	5526	7	
903048	820	1049	9808	12	
904101	821	1002	6385	8	
905238	822	1039	11086	14	
906315	823	1016	6077	8	
907420	824	1021	6834	9	
908524	825	1025	8744	11	
909642	826	1043	5271	7	
910715	827	1016	9023	11	
911861	828	1062	6494	8	
912955	829	1056	5414	7	
914037	830	1038	6260	8	
915195	831	1096	6449	8	
916274	832	1075	7692	10	
917306	833	1007	6343	8	
918430	834	1031	9444	12	
919502	835	1003	5354	7	
920601	836	1002	7361	9	
921718	837	1019	5960	8	
922864	838	1065	5894	8	
923939	839	1040	5062	7	
925077	840	1078	5710	7	
926107	841	1008	7105	9	
927259	842	1060	5517	7	
928311	843	1012	7378	9	
929451	844	1052	6908	9	
930555	845	1056	6859	9	
931654	846	1055	6425	8	
932756	847	1057	8505	11	
933891	848	1092	5103	7	
934935	849	1036	7730	10	
936012	850	1013	5397	7	
937106	851	1007	10066	13	
938214	852	1015	8379	11	
939349	853	1050	8397	11	
940433	854	1034	7179	9	
941529	855	1030	8232	10	
942611	856	1012	6718	9	
943726	857	1027	10320	13	
944855	858	1056	11245	14	
945939	859	1040	7744	10	
947080	860	1081	5067	7	
948168	861	1069	6795	9	
949220	862	1021	5626	7	
950385	863	1086	5061	7	
951488	864	1089	10219	13	
952571	865	1072	8469	11	
953627	866	1028	5306	7	
954700	867	1001	6665	8	
955885	868	1086	4953	6	
956909	869	1010	4895	6	
958013	870	1014	6264	8	
959112	871	1013	6160	8	
960219	872	1020	5517	7	
961351	873	1052	7952	10	
962475	874	1076	7689	10	
963535	875	1036	7475	9	
964658	876	1059	4658	6	
965713	877	1014	6933	9	
966808	878	1009	5940	8	
967901	879	1002	7171	9	
969023	880	1024	8575	11	
970159	881	1060	5950	8	
971208	882	1009	8001	10	
972320	883	1021	7624	10	
973400	884	1001	6260	8	
974578	885	1079	4933	6	
975644	886	1045	9247	12	
976793	887	1094	4707	6	
977844	888	1045	7992	10	
978909	889	1010	8709	11	
980055	890	1056	8218	10	
981143	891	1044	6300	8	
982206	892	1007	12019	15	
983367	893	1068	8207	10	
984422	894	1023	5543	7	
985530	895	1031	6628	8	
986688	896	1089	7800	10	
987762	897	1063	7466	9	
988898	898	1099	6795	9	
989942	899	1043	7616	10	
991008	900	1009	7370	9	
992132	901	1033	7679	10	
993234	902	1035	8090	10	
994303	903	1004	6096	8	
995456	904	1057	7312	9	
996574	905	1075	6642	8	
997647	906	1048	5170	7	
998754	907	1055	4352	6	
999815	908	1016	6757	9	
1000918	909	1019	6713	9	
1002063	910	1064	6139	8	
1003142	911	1043	7890	10	
1004286	912	1087	6912	9	
1005324	913	1025	6408	8	
1006415	914	1016	9807	12	
1007567	915	1068	5556	7	
1008655	916	1056	6635	8	
1009739	917	1040	5786	7	
1010823	918	1024	6430	8	
1011995	919	1096	6714	9	
1013061	920	1062	4692	6	
1014158	921	1059	7954	10	
1015242	922	1043	5737	7	
1016327	923	1028	9366	12	
1017497	924	1098	6915	9	
1018578	925	1079	9848	12	
1019601	926	1002	8022	10	
1020703	927	1004	4766	6	
1021869	928	1070	5535	7	
1022977	929	1078	6588	8	
1024037	930	1038	7029	9	
1025106	931	1007	10203	13	
1026248	932	1049	7857	10	
1027338	933	1039	8199	10	
1028447	934	1048	8502	11	
1029573	935	1074	7109	9	
1030651	936	1052	5109	7	
1031772	937	1073	6960	9	
1032859	938	1060	5069	7	
1033912	939	1013	7312	9	
1035013	940	1014	7867	10	
1036151	941	1052	5399	7	
1037239	942	1040	7385	9	
1038379	943	1080	6289	8	
1039426	944	1027	7100	9	
1040536	945	1037	5927	8	
1041699	946	1100	9963	12	
1042711	947	1012	7396	9	
1043872	948	1073	5998	8	
1044914	949	1015	4928	6	
1046059	950	1060	6191	8	
1047110	951	1011	4873	6	
1048238	952	1039	7348	9	
1049392	953	1093	5665	7	
1050471	954	1072	6552	8	
1051527	955	1028	7998	10	
1052606	956	1007	7020	9	
1053709	957	1010	4478	6	
1054882	958	1083	5821	7	
1055999	959	1100	6722	9	
1057068	960	1069	7303	9	
1058132	961	1033	6559	8	
1059255	962	1056	8733	11	
1060399	963	1100	12199	15	
1061412	964	1013	8330	10	
1062593	965	1094	8434	11	
1063639	966	1040	7353	9	
1064727	967	1028	5886	8	
1065888	968	1089	5443	7	
1066914	969	1015	8632	11	
1068079	970	1080	7164	9	
1069168	971	1069	8314	10	
1070200	972	1001	9126	11	
1071343	973	1044	5610	7	
1072495	974	1096	7624	10	
1073595	975	1096	6192	8	
1074690	976	1091	10134	13	
1075737	977	1038	5416	7	
1076800	978	1001	10785	13	
1077928	979	1029	7023	9	
1079083	980	1084	7229	9	
1080180	981	1081	7127	9	
1081215	982	1016	8287	10	
1082305	983	1006	8230	10	
1083455	984	1056	5724	7	
1084509	985	1010	6059	8	
1085696	986	1097	7477	9	
1086782	987	1083	8885	11	
1087881	988	1082	6385	8	
1088968	989	1069	5467	7	
1090051	990	1052	8606	11	
1091117	991	1018	10197	13	
1092227	992	1028	7627	10	
